"sex","Order","edu","ethnic","politicalid_6","country_mig","major","age","Mn_RT_all_3467","PCT_error_3467","D_biep.Male_Career_all","assocareer","assofamily","impcareer","impfamily","havechildren","numboys","numgirls","planchildren"
"m",2,7,5,2,FALSE,4,34,661.5,5,0.719179502104664,5,1,4,4,"no",NA,NA,"3"
"f",1,5,3,1,FALSE,9,18,717.983333333333,3.33333333333333,0.540736702577011,3,2,3,5,"no",NA,NA,"3"
"f",2,7,5,3,FALSE,6,32,993.3,6.66666666666667,0.149686031570215,3,2,4,4,"no",NA,NA,"2"
"f",2,7,5,2,FALSE,1,39,1152.33333333333,0.833333333333333,0.496484316267015,3,3,4,5,"no",NA,NA,"1"
"f",2,7,5,3,FALSE,11,20,895.775,0,0.319090539827868,3,3,3,4,"no",NA,NA,"3"
"f",2,7,5,4,FALSE,10,20,576.008333333333,2.5,0.699212289188932,3,2,4,5,"no",NA,NA,"3"
"f",2,7,5,5,FALSE,10,20,1140.46666666667,3.33333333333333,0.52544321453478,3,2,4,4,"no",NA,NA,"3"
"f",1,3,5,3,TRUE,NA,18,808.3,6.66666666666667,0.689575275012878,3,2,4,5,"no",NA,NA,"3"
"f",2,NA,5,NA,FALSE,NA,19,867.075,4.16666666666667,0.390280933904342,3,2,4,4,"no",NA,NA,"2"
"f",1,5,5,2,FALSE,10,18,828.45,6.66666666666667,0.269665114943436,3,2,4,5,"no",NA,NA,"3"
"f",2,5,5,3,FALSE,10,18,700.991666666667,5.83333333333333,0.166595341504703,3,2,3,2,"no",NA,NA,"2"
"f",1,5,5,5,FALSE,10,23,952.333333333333,5.83333333333333,0.735385733566192,3,2,4,3,"yes",NA,NA,"."
